START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
03/26/26,01:20 PM,02:20 PM,Nationals at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 104.3 The Score- TUDN- WPPN 106.7 / TUDN",03/26/26,03/26/26,04:20 PM,05:20 PM,FALSE,TRUE,03/26/26,12:20 PM,01:20 PM,FREE,BUSY
03/28/26,01:20 PM,02:20 PM,Nationals at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 104.3 The Score- TUDN- WPPN 106.7 / TUDN",03/28/26,03/28/26,04:20 PM,05:20 PM,FALSE,TRUE,03/28/26,12:20 PM,01:20 PM,FREE,BUSY
03/29/26,01:20 PM,02:20 PM,Nationals at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 104.3 The Score- TUDN- WPPN 106.7 / TUDN",03/29/26,03/29/26,04:20 PM,05:20 PM,FALSE,TRUE,03/29/26,12:20 PM,01:20 PM,FREE,BUSY
03/30/26,06:40 PM,07:40 PM,Angels at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 104.3 The Score- TUDN- WPPN 106.7 / TUDN",03/30/26,03/30/26,09:40 PM,10:40 PM,FALSE,TRUE,03/30/26,05:40 PM,06:40 PM,FREE,BUSY
03/31/26,06:40 PM,07:40 PM,Angels at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 104.3 The Score- TUDN- WPPN 106.7 / TUDN",03/31/26,03/31/26,09:40 PM,10:40 PM,FALSE,TRUE,03/31/26,05:40 PM,06:40 PM,FREE,BUSY
04/01/26,01:20 PM,02:20 PM,Angels at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 104.3 The Score- TUDN- WPPN 106.7 / TUDN",04/01/26,04/01/26,04:20 PM,05:20 PM,FALSE,TRUE,04/01/26,12:20 PM,01:20 PM,FREE,BUSY
04/10/26,01:20 PM,02:20 PM,Pirates at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 104.3 The Score- TUDN- WPPN 106.7 / TUDN",04/10/26,04/10/26,04:20 PM,05:20 PM,FALSE,TRUE,04/10/26,12:20 PM,01:20 PM,FREE,BUSY
04/11/26,01:20 PM,02:20 PM,Pirates at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 104.3 The Score- TUDN- WPPN 106.7 / TUDN",04/11/26,04/11/26,04:20 PM,05:20 PM,FALSE,TRUE,04/11/26,12:20 PM,01:20 PM,FREE,BUSY
04/12/26,01:20 PM,02:20 PM,Pirates at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 104.3 The Score- TUDN- WPPN 106.7 / TUDN",04/12/26,04/12/26,04:20 PM,05:20 PM,FALSE,TRUE,04/12/26,12:20 PM,01:20 PM,FREE,BUSY
04/17/26,01:20 PM,02:20 PM,Mets at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 104.3 The Score- TUDN- WPPN 106.7 / TUDN",04/17/26,04/17/26,04:20 PM,05:20 PM,FALSE,TRUE,04/17/26,12:20 PM,01:20 PM,FREE,BUSY
